"id","date","record","title","fileUrl","type","result","recordUrl","detailsUrl","videoUrl","affirmativeCount","negativeCount","abstentionCount","absentCount"
864,"2012-11-29",2,"PROYECTO DE LEY EN REVISION SOBRE REGULACION DE LOS SUJETOS Y VALORES NEGOCIABLES COMPRENDIDOS DENTRO DEL MERCADO DE CAPITALES, SUJETOS A LA REGLAMENTACIÓN Y CONTROL DE LA COMISION NACIONAL DE VALORES. O.D. 1351/2012, Art. 6, Art. 8, Art. 20","/parlamentario/parlamentaria/ordenDelDiaResultadoLink/2012/1351","EN PARTICULAR","AFIRMATIVO","/votaciones/verActaVotacion/864","/votaciones/detalleActa/864",,40,22,0,10
865,"2012-11-29",3,"PROYECTO DE LEY EN REVISION INSTITUYENDO EL 10 DE AGOSTO DE CADA AÑO COMO ""DIA NACIONAL DE PERIODISTA DE EXTERIORES DE RADIO Y TELEVISION"", EN MEMORIA Y HOMENAJE AL PERIODISTA ARGENTINO GUSTAVO VALENZA. CD-159/12-PL","/parlamentario/comisiones/verExp/159.12/CD/PL","EN GENERAL Y EN PARTICULAR","AFIRMATIVO","/votaciones/verActaVotacion/865","/votaciones/detalleActa/865",,61,0,0,11
866,"2012-11-29",4,"Temas Varios O.D. CD-118/12-PL, O.D. 1352/2012","/parlamentario/comisiones/verExp/118.12/CD/PL","EN GENERAL Y EN PARTICULAR","AFIRMATIVO","/votaciones/verActaVotacion/866","/votaciones/detalleActa/866",,54,0,0,18
867,"2012-11-29",5,"PROYECTO DE LEY EN REVISION PRORROGANDO HASTA EL 31 DE DICIEMBRE DE 2013 LA VIGENCIA DEL IMPUESTO ADICIONAL DE EMERGENCIA SOBRE EL PRECIO FINAL DE VENTA DE CIGARRILLOS, ESTABLECIDO POR LEY 24.625. O.D. 1352/2012, Art. 2","/parlamentario/parlamentaria/ordenDelDiaResultadoLink/2012/1352","EN PARTICULAR","AFIRMATIVO","/votaciones/verActaVotacion/867","/votaciones/detalleActa/867",,46,9,0,17
868,"2012-11-29",6,"Temas Varios Expedientes ( CD-111/12-PL, CD-97/12-PL, CD-145/12-PL, S-1970/12-PL, CD-69/11-PL, S-2408/11-PL, S-55/12-PL, S-52/12-PL, S-2969/12-PL, CD-146/12-PL, S-854/11-PL, S-569/11-PL","/parlamentario/comisiones/verExp/111.12/CD/PL","EN GENERAL Y EN PARTICULAR","AFIRMATIVO","/votaciones/verActaVotacion/868","/votaciones/detalleActa/868",,58,0,0,14
855,"2012-11-28",1,"PICHETTO: PROYECTO DE RESOLUCION DECLARANDO LA GRAVEDAD INSTITUCIONAL EN RAZON DEL FALLO DEL JUEZ DE LOS TRIBUNALES DE NUEVA YORK THOMAS GRIESSA, QUE OBLIGA A NUESTRO PAIS A PAGAR A LOS TENEDORES DE BONOS QUE NO ENTRARON EN EL CANJE DE DEUDA, DESCONOCIENDO LAS LEYES ARGENTINAS EN LA MATERIA Y OTRAS S-4381/12-PR","/parlamentario/comisiones/verExp/4381.12/S/PR","EN GENERAL Y EN PARTICULAR","AFIRMATIVO","/votaciones/verActaVotacion/855","/votaciones/detalleActa/855",,41,19,4,8
856,"2012-11-28",2,"Temas Varios O.D. CD-23/11-PL, O.D. 1324/2012","/parlamentario/comisiones/verExp/23.11/CD/PL","EN GENERAL","AFIRMATIVO","/votaciones/verActaVotacion/856","/votaciones/detalleActa/856",,65,0,0,7
857,"2012-11-28",3,"Temas Varios O.D. CD-23/11-PL, O.D. 1324/2012, Art. 1° A 71°, Art. 73° A 76°","/parlamentario/comisiones/verExp/23.11/CD/PL","EN PARTICULAR","AFIRMATIVO","/votaciones/verActaVotacion/857","/votaciones/detalleActa/857",,65,0,0,7
858,"2012-11-28",4,"Temas Varios O.D. CD-23/11-PL, O.D. 1324/2012, Art. 72° Inc. a, b y d","/parlamentario/comisiones/verExp/23.11/CD/PL","EN PARTICULAR","AFIRMATIVO","/votaciones/verActaVotacion/858","/votaciones/detalleActa/858",,65,0,0,7
859,"2012-11-28",5,"Temas Varios O.D. CD-23/11-PL, O.D. 1324/2012, Art. 72° Inc c","/parlamentario/comisiones/verExp/23.11/CD/PL","EN PARTICULAR","AFIRMATIVO","/votaciones/verActaVotacion/859","/votaciones/detalleActa/859",,37,28,0,7
860,"2012-11-28",6,"Temas Varios O.D. CD-23/11-PL, O.D. 1324/2012, Art. 72° Inc. e","/parlamentario/comisiones/verExp/23.11/CD/PL","EN PARTICULAR","AFIRMATIVO","/votaciones/verActaVotacion/860","/votaciones/detalleActa/860",,39,26,0,7
869,"2012-11-28",7,"Temas Varios O.D. CD-23/11-PL, O.D. 1324/2012, Art. 72° Inc f","/parlamentario/comisiones/verExp/23.11/CD/PL","EN PARTICULAR","AFIRMATIVO","/votaciones/verActaVotacion/869","/votaciones/detalleActa/869",,39,26,0,7
870,"2012-11-28",8,"PROYECTO DE LEY EN REVISION CREANDO EL INSTITUTO NACIONAL DE LA MUSICA. CD-95/12-PL","/parlamentario/comisiones/verExp/95.12/CD/PL","EN GENERAL Y EN PARTICULAR","AFIRMATIVO","/votaciones/verActaVotacion/870","/votaciones/detalleActa/870",,60,0,0,12
