id,votacion_id,original_id,itul
146,146,"6508-D-1999","Modificaciones a diversos regímenes impositivos."
147,147,"6508-D-1999","Modificaciones a diversos regímenes impositivos."
148,148,"6508-D-1999","Modificaciones a diversos regímenes impositivos."
149,149,"6508-D-1999","Modificaciones a diversos regímenes impositivos."
150,150,"6508-D-1999","Modificaciones a diversos regímenes impositivos."
151,151,"6508-D-19999","Modificaciones a diversos regímenes impositivos."
152,152,"6508-D-1999","Modificaciones a diversos regímenes impositivos."
153,153,"6508-D-1999","Modificaciones a diversos regímenes impositivos."
154,154,"6508-D-1999","Modificaciones a diversos regímenes impositivos."
155,155,"6508-D-1999","Modificaciones a diversos regímenes impositivos."
156,156,"6508-D-1999","Modificaciones a diversos regímenes impositivos."
157,157,"6508-D-1999","Modificaciones a diversos regímenes impositivos."
158,158,"6508-D-1999","Modificaciones a diversos regímenes impositivos."
159,159,"6508-D-1999","Modificaciones a diversos regímenes impositivos."
160,160,"6508-D-1999","Modificaciones a diversos regímenes impositivos."
161,161,"6508-D-1999","Modificaciones a diversos regímenes impositivos."
162,162,"6508-D-1999","Modificaciones a diversos regímenes impositivos."
163,163,"6508-D-1999","Modificaciones a diversos regímenes impositivos."
164,164,"6508-D-1999","Modificaciones a diversos regímenes impositivos."
165,165,"6508-D-1999","Modificaciones a diversos regímenes impositivos."
166,166,"6508-D-1999","Modificaciones a diversos regímenes impositivos."
167,167,"6508-D-1999","Modificaciones a diversos regímenes impositivos."
168,168,"6508-D-1999","Modificaciones a diversos regímenes impositivos."
169,169,"6508-D-1999","Modificaciones a diversos regímenes impositivos."
170,170,"3537-D-99","Modificación a la ley 25063 de reforma tributaria - impuesto a la ganancia mínima presunta."
171,171,"3537-D-99","Modificación a la ley 25063 de reforma tributaria - impuesto a la ganancia mínima presunta."
172,172,"52-PE-98","Régimen de Prestación Privada de Servicios de Seguridad - Título V - Artículos del 17º al 20º con modificaciones"
173,173,"52-PE-98","Régimen de Prestación Privada de Servicios de Seguridad - Artículo 7º con modificaciones"
